"Site ID","Longitude","Latitude","UTM_Easting","UTM_Northing","Location_setting","Avg_PM25","Avg_temperature","Average_ppt_amt","Density_pop","Elevation"
"617","-121.784217","37.687526","607195.879205013","4171841.66632243","URBAN AND CENTER CITY","4.45527344642857","46.9","6.12","1092.510986","512"
"619","-122.169935","37.743065","573131.667892791","4177632.4514368","URBAN AND CENTER CITY","3.34262660714286","46.5","8.15","292.795105","522"
"6111","-122.282347","37.814781","563166.572310106","4185507.46117039","URBAN AND CENTER CITY","4.42074921428571","49.1","8.55","9206.90918","213"
"6112","-122.263376","37.793624","564854.889402259","4183173.07111772","URBAN AND CENTER CITY","3.85551889285714","49.1","8.55","9206.90918","213"
"6113","-122.302741","37.864767","561330.099939049","4191039.87302053","URBAN AND CENTER CITY","5.91583735714286","49.1","8.55","9206.90918","213"
"6115","-121.903019","37.701222","596702.942523315","4173231.98969556","SUBURBAN","3.67600285714286","47.3","8.11","121.830368","354"
"678","-121.84047","39.76168","599321.609747591","4401949.42741385","SUBURBAN","4.67307692307692","45.5","12.52","4.816705227","167"
"691","-120.680277","38.20185","703119.152299287","4230754.75535659","RURAL","4.25209921818182","42.2","12.97","11.89202499","1722"
"6117","-122.281803","39.021221","562171.697795786","4319376.84374738","RURAL","6.08357142857143","41.6","13.98","0.008231035","1759"
"6111002","-121.99887","39.18919","586459.165362198","4338248.86294064","RURAL","3.02","46.7","9.29","0.203738987","46"
"6132","-122.026154","37.936013","585576.330662191","4199162.69973118","SUBURBAN","2.6366004137931","47.1","7.24","2354.006104","358"
"6131004","-122.356811","37.9604","556500.919914031","4201616.41094982","URBAN AND CENTER CITY","5.24899069642857","47.4","19.04","9.164726257","305"
"61911","-119.77321","36.78538","787955.424524021","4075922.82139122","URBAN AND CENTER CITY","8.44801305714286","48.1","4.29","2162.222412","325"
"619500","-119.658339","36.985119","797432.745736874","4098443.06579159","RURAL","3.08923160714286","47.7","4.09","1.396457791","489"
"6192009","-120.382331","36.634225","734044.430677022","4057488.50556922","RURAL","2.24914066071429","47.5","2.56","0","217"
"6195001","-119.716433","36.819449","792893.761040188","4079876.46179785","URBAN AND CENTER CITY","6.96826695238095","48.1","4.29","2162.222412","325"
"6195025","-119.733","36.72639","791768.450760333","4069498.03149925","URBAN AND CENTER CITY","8.65555555555556","48.1","4.29","2162.222412","325"
"6231004","-124.17949","40.77678","400468.131605025","4514647.15912931","SUBURBAN","5.26","44.4","14.37","2.44917202","7"
"6255","-115.48307","32.67618","1205602.09803141","3640466.26109908","SUBURBAN","11.25","53.8","0.25","0.19237338","0"
"6257","-115.53917","32.97833","1197937.1787706","3673704.60579934","URBAN AND CENTER CITY","5.925","52.7","0.55","2.718851089","-92"
"6251003","-115.56306","32.79222","1197164.62930999","3652841.77920065","URBAN AND CENTER CITY","6.7","53.8","0.23","45.06684113","-10"
"6272","-118.330783","37.360684","913599.498703934","4145125.15455199","RURAL","1.97209257377049","36.3","2.29","0","4134"
"6271003","-117.871036","36.487823","959578.522222516","4050308.34497498","RURAL","3.92194513846154","39.8","1.72","74.44508362","3855"
"62910","-119.015009","35.385574","862019.85960526","3923100.28570998","URBAN AND CENTER CITY","7.22","48.6","2.02","4235.239258","486"
"62911","-118.147294","35.050551","942726.313717578","3889431.47393292","RURAL","3.31697835714286","40.3","4.12","0.484429479","3219"
"62914","-119.062613","35.356615","857821.027628538","3919712.62120356","URBAN AND CENTER CITY","7.39666666666667","48.6","2.02","4235.239258","486"
"62916","-118.997627","35.324636","863873.634126539","3916400.48716161","SUBURBAN","6.94444444444444","48.6","1.88","0.807521522","381"
"62918","-117.715066","35.642943","978675.5600561","3957232.81726167","URBAN AND CENTER CITY","1.5288455","45.7","1.36","0","2175"
"6314","-119.56565","36.102244","809186.803126345","4000752.75479884","SUBURBAN","7.326549109375","49.9","2.64","95.82277679","210"
"6311004","-119.643447","36.31567","801359.802537811","4024193.06699361","SUBURBAN","7.47144603571429","48","2.45","807.6187134","253"
"6333002","-122.91333","39.01893","507502.907689582","4318880.84176202","SUBURBAN","1.42","41.1","18.36","0.086933278","1781"
"6372","-117.92391","34.1365","968242.998578432","3788948.88408837","SUBURBAN","4.5","52.2","9.96","1310.939575","564"
"6371103","-118.22688","34.06659","940634.138802683","3779834.68249276","URBAN AND CENTER CITY","6.48333333333333","53.4","7.49","2085.193115","213"
"6371201","-118.53276","34.19925","911728.863702116","3793281.46151168","SUBURBAN","6.74444444444444","50.4","7.09","1459.782959","928"
"6371302","-118.205","33.901389","943515.779025878","3761588.1359124","URBAN AND CENTER CITY","8.21111111111111","53","6.52","5904.987305","59"
"6371602","-118.0685","34.01029","955570.329944276","3774279.44036476","SUBURBAN","8.33571428571429","52.1","8.32","3584.312988","499"
"6372005","-118.1272","34.1326","949494.092739364","3787599.07043655","URBAN AND CENTER CITY","6.82142857142857","50.9","10.86","1540.799438","1001"
"6374002","-118.18921","33.82376","945381.771068422","3753037.91573804","SUBURBAN","6.60909090909091","53","6.52","5904.987305","59"
"6374004","-118.17533","33.79236","946831.66878211","3749612.06789122","SUBURBAN","6.08571428571429","52.7","5.97","0","7"
"6374008","-118.200707","33.859662","944130.050894834","3756974.04149679","SUBURBAN","9.84523239285714","53","6.52","5904.987305","59"
"6379033","-118.130511","34.669739","946317.723845326","3847223.51421084","URBAN AND CENTER CITY","3.07985305357143","42.8","1.74","0","2575"
"6392010","-120.034203","36.953256","764079.379357311","4093797.84187987","SUBURBAN","6.31532975438596","48.8","3.05","1630.63501","262"
"6411","-122.520004","37.97231","542158.328220164","4202851.41855634","URBAN AND CENTER CITY","3.32973978181818","47.4","19.04","148.9600525","305"
"6456","-123.20655","39.15047","482152.4093908","4333494.92778929","SUBURBAN","6.64749475","41","19.62","1.42562449","2126"
"6452002","-123.35264","39.41174","469642.012213132","4362528.74547008","URBAN AND CENTER CITY","3.95634191071429","40","18.25","9.064709663","1916"
"6473","-120.433671","37.281853","727516.705380317","4129227.59636447","RURAL","8.08258748214286","47.6","3.84","0.928615093","167"
"6472510","-120.480456","37.30832","723289.972118263","4132052.9734521","URBAN AND CENTER CITY","6.2","47.7","3.79","1818.371948","161"
"6511","-118.96652","37.64571","855900.90918414","4174165.55028924","RURAL","9.83912341071429","20.5","14.13","457.8299561","8661"
"6515","-119.120278","37.962069","840868.486791369","4208711.83663285","SUBURBAN","1.33749014814815","28.5","5.9","0.002450399","6398"
"6532","-121.73333","36.48187","613466.139562073","4038142.830857","SUBURBAN","2.46461469090909","45.5","9.87","3.946660042","1457"
"6538","-121.126371","36.209286","668427.569560476","4008788.88680779","URBAN AND CENTER CITY","2.46905233928571","48.3","4.37","0.21135819","328"
"6531003","-121.623271","36.694261","622988.053492533","4061839.65786739","URBAN AND CENTER CITY","2.51882246666667","49.4","5.49","1760.913086","72"
"6554","-122.275024","38.278849","563409.580945418","4237003.15848923","SUBURBAN","3.57775210714286","45.6","13.57","0.551199436","1115"
"6575","-121.055608","39.233477","667820.090884225","4344487.72012818","SUBURBAN","7.13981347540984","37.7","22.25","263.2004395","2822"
"6571001","-120.184592","39.32783","742681.540213183","4356937.68902572","URBAN AND CENTER CITY","6.1","23.5","17.38","25.65593338","6161"
