"longitude","latitude","temperature","ppt","pop.density","elevation"
-117.830416215256,34.1370833722965,50.7,9.97,285.4517822,915
-116.997082885256,32.8037500442965,52.1,7.11,4846.686035,482
-117.613749549456,34.0870833724966,50.5,7.02,0.882204473,869
-120.905416202956,36.0204166980965,45.7,4.44,0,873
-122.347082863856,37.9787500235965,47.4,19.04,9.164726257,305
-117.013749551856,32.6204167116965,52.3,5.4,3138.800293,453
-118.222082880356,33.8620833733966,53.2,6.05,0,98
-122.255416197556,37.8204166908966,49.1,8.55,9206.90918,213
-121.138749535356,38.6537500208965,47.3,10.02,0.094642028,367
-117.913749548256,34.0787500391965,52.2,8.47,2830.310791,456
-118.247082880256,34.0037500394965,53.4,7.49,2085.193115,213
-120.938749536156,37.6704166914965,48.1,3.08,82.55690002,89
-117.855416215156,33.7287500405965,52.9,7.27,3088.709717,151
-121.472082867356,38.4954166881965,47.7,9.08,3911.962646,23
-117.388749550356,34.1120833723965,49.2,8.86,2960.883789,1358
-117.630416216056,33.6787500407966,50.3,8.69,2.014583111,1250
-118.247082880256,33.7954167069965,53,5.85,40.69039917,52
-121.472082867356,37.7454166911965,48.5,3.29,2656.709473,33
-121.072082868956,39.0287500193965,41.4,16.77,253.0108185,1946
-117.138749551356,33.7537500404965,46.5,6.46,10.96331596,1699
-122.222082864356,38.0537500232966,48.3,9.6,122.0525436,279
-118.188749547156,34.0287500393965,53.3,7.92,9209.358398,154
-118.013749547856,33.9120833731965,52.9,7.69,5583.333496,148
-116.405416220956,33.7537500404965,50.4,3.85,13.6188345,1125
-118.272082880156,34.0204167060965,53.4,7.49,2085.193115,213
-121.997082865256,38.2704166890965,47.6,9.1,0,39
-121.022082869156,37.6287500249965,48.3,3.37,24.83733368,66
-117.480416216656,34.1204167056965,49.2,9.67,790.5980835,1332
-119.722082874356,36.8287500281965,48.1,4.29,2162.222412,325
-118.205416213756,33.9037500398966,53,6.52,5904.987305,59
-117.830416215256,33.7954167069965,52.9,7.27,3088.709717,151
-122.013749531856,37.9620833569966,47.1,7.24,2354.006104,358
-118.263749546856,33.7870833736965,53,5.85,40.69039917,52
-118.330416213256,34.0537500392965,53.2,7.43,2943.743408,253
-120.388749538356,36.7620833617965,47.5,3.26,0,190
-117.338749550556,34.3870833712965,40.6,5.97,10.37630939,3478
-118.355416213156,34.0204167060965,53.2,7.43,2943.743408,253
-117.172082884556,32.8204167108965,53.3,5.74,1291.724609,308
-117.522082883156,34.1120833723965,49.7,7.85,0,1102
-116.497082887256,33.9787500395965,51.1,4.72,257.615448,1145
-117.580416216256,34.1204167056965,49.3,10.11,2870.635986,1394
-117.247082884256,33.9620833729965,46.8,6.18,0.430383027,2028
-118.222082880356,33.9454167063965,53.3,7.92,9209.358398,154
-122.080416198256,37.3370833594965,48.7,8.9,1924.318237,240
-121.130416202056,36.2037500306965,48.3,4.37,0.21135819,328
-119.713749541056,34.4287500377965,48,10.94,5.926409721,1821
-121.388749534356,38.4870833548965,47.7,8.68,4.365170956,66
-116.055416222356,34.2120833719965,48.6,1.32,17.32734871,1831
-118.313749546656,33.9287500397965,53.2,6.05,0,98
-119.738749540956,36.8370833614965,48.1,4.29,2162.222412,325
-119.638749541356,36.3037500302965,48,2.45,807.6187134,253
-118.113749547456,34.0037500394965,52.9,7.69,2620.346191,148
-118.855416211156,34.2954167049965,47,7.54,0.159947187,1519
-121.288749534756,37.9537500236965,47.8,6.1,4667.069336,39
-121.988749531956,37.2870833596965,48.5,8.27,4999.494629,167
-117.288749550756,34.1120833723965,49.2,8.86,2960.883789,1358
-121.788749532756,37.6787500247965,46.9,6.12,1092.510986,512
-117.030416218456,32.6037500450965,52.7,4.8,1582.719971,223
-117.963749548056,34.0870833724966,52.2,9.96,2683.371094,564
-117.047082885056,33.1370833762965,52.2,7.14,5.540079117,525
-118.272082880156,33.7787500403965,53,5.85,40.69039917,52
-121.830416199256,37.2037500266965,47.3,11.79,357.8791199,410
-117.313749550656,33.2454167091965,50.7,7.22,172.0842133,157
-118.022082881156,33.9620833729965,52.1,8.32,3584.312988,499
-117.922082881556,33.8454167067965,52.6,7.24,1732.545044,207
-119.113749543456,35.4204167004965,48.8,1.92,992.1656494,384
-121.222082868356,37.8204166908966,48.1,4.99,84.05028534,26
-117.155416217956,33.5370833746966,47.4,9,251.7786255,1204
-121.863749532456,39.7620833497965,45.5,12.52,4.816705227,167
-119.013749543856,35.3037500342965,48.6,1.88,0.807521522,381
-121.830416199256,37.3537500260965,48.6,6.32,5082.440918,118
-121.488749533956,37.8370833574965,48.4,4.25,3.738569736,7
-117.938749548156,33.8787500399965,52.6,7.24,1732.545044,207
-117.063749551656,32.7870833776965,53.3,5.62,1125.793091,256
-117.155416217956,34.4954167041966,42.6,2.83,11.1672802,3117
-117.880416215056,33.8537500400965,52.3,7.33,102.639183,331
-121.947082865456,37.2454166931965,46.5,13.43,2312.85083,505
-121.463749534056,38.4870833548965,47.6,8.96,4110.169434,13
-117.113749551456,33.5954167077965,47.4,9,251.7786255,1204
-121.255416201556,38.7870833536965,47.5,9.65,1819.105713,157
-120.847082869856,37.4787500255965,49.1,3.79,105.360321,79
-122.197082864456,37.7704166910965,49.1,8.55,9206.90918,213
-117.105416218156,32.7370833778965,52.5,6.22,1565.854736,476
-121.772082866156,36.6620833621965,48.9,7.32,0,269
-117.188749551156,33.8287500401965,46.8,5.7,349.5352173,1457
-122.097082864856,37.9370833570965,44.4,10.5,8.954558372,1043
-117.280416217456,33.8537500400965,46.5,5.55,187.1578979,1670
-121.072082868956,38.9204166864966,44.7,13.2,0,1142
-121.422082867556,38.4204166884965,47.4,7.96,1782.083984,16
-118.555416212356,34.4454167043965,46.6,6.79,56.06826019,1617
-121.863749532456,37.6704166914965,47.2,7.69,77.88317871,499
-121.963749532056,37.4037500258965,49.2,6.93,3117.072021,43
-118.147082880656,33.8454167067965,53,6.52,5904.987305,59
-121.730416199656,37.9704166902965,48.5,5.97,520.8905029,36
-120.097082872856,36.9454166943965,49.3,3.22,268.8659363,243
-117.922082881556,33.7870833736965,52.6,6.83,3248.611084,112
-116.247082888256,33.7204167072966,54.5,2.35,579.1731567,105
-120.697082870456,35.5620833665965,45,7.99,6.820634842,827
-122.505416196556,37.9620833569966,47.4,19.04,9.164726257,305
-117.455416216756,33.9037500398966,49.3,5.27,2270.165283,886
-118.130416214056,34.0870833724966,50.9,10.86,1540.799438,1001
-121.947082865456,36.9870833608965,50,13.2,3648.460205,62
-120.705416203756,37.3870833592965,48.3,3.81,5.749542713,112
-117.330416217256,34.0870833724966,49.2,8.86,2960.883789,1358
-121.272082868156,39.3620833513965,43.7,18.01,5.864885807,1398
-118.088749547556,33.9204167064965,52.9,7.69,2620.346191,148
-121.288749534756,38.7870833536965,47.5,9.65,1616.971436,157
-122.355416197156,37.9704166902965,47.4,19.04,9.164726257,305
-117.888749548356,34.0787500391965,52.2,8.47,2830.310791,456
-119.338749542556,36.2120833639965,47.9,3.08,359.9552917,292
-121.547082867056,39.0204166860965,47.2,9.54,0.772536457,69
-121.380416201056,38.6870833540966,47.4,9.77,1729.234375,121
-121.780416199456,37.6537500248965,47,5.92,1313.712891,571
-121.938749532156,37.7287500245966,47.3,8.11,3619.326172,354
-118.080416214256,33.9620833729965,52.9,7.69,2620.346191,148
-117.355416217156,34.4787500375965,43.1,1.68,11.57862949,2897
-117.147082884656,33.5370833746966,47.4,9,251.7786255,1204
-118.347082879856,33.8954167065965,53.2,6.05,0,98
-119.072082876956,35.3620833673966,48.6,1.95,2050.097168,354
-116.980416218656,33.7287500405965,47.6,6,2100.669434,1539
-117.280416217456,34.2454167051965,45.5,11.95,159.1575165,2461
-120.672082870556,35.5037500334965,44.8,8.89,958.1795654,912
-116.913749552256,32.8204167108965,50.7,9,262.1011047,1066
-119.155416209956,36.1620833641965,47.7,3.42,0.1505353,315
-118.522082879156,34.3787500379965,45.2,8.75,0.48891449,2110
-117.130416218056,33.5120833747965,47.4,9,251.7786255,1204
-117.088749551556,33.0037500434965,51.9,7.39,133.8515625,561
