"county","cases","E","race","gender","smoking"
"adams","1","0.2","o","f","0.234"
"adams","5","7.1","w","f","0.234"
"adams","0","0.2","o","m","0.234"
"adams","9","11.2","w","m","0.234"
"allegheny","13","16.6","o","f","0.245"
"allegheny","102","103.1","w","f","0.245"
"allegheny","17","18.3","o","m","0.245"
"allegheny","147","138.4","w","m","0.245"
"armstrong","0","0.1","o","f","0.25"
"armstrong","6","6.9","w","f","0.25"
"armstrong","0","0.1","o","m","0.25"
"armstrong","9","9.6","w","m","0.25"
"beaver","0","1.2","o","f","0.276"
"beaver","22","16.9","w","f","0.276"
"beaver","3","1.4","o","m","0.276"
"beaver","19","23.8","w","m","0.276"
"bedford","0","0","o","f","0.228"
"bedford","3","5","w","f","0.228"
"bedford","0","0.1","o","m","0.228"
"bedford","6","7.4","w","m","0.228"
"berks","0","2","o","f","0.249"
"berks","33","28.7","w","f","0.249"
"berks","1","2.7","o","m","0.249"
"berks","41","42.4","w","m","0.249"
"blair","0","0.2","o","f","0.228"
"blair","11","11.8","w","f","0.228"
"blair","0","0.2","o","m","0.228"
"blair","15","16.4","w","m","0.228"
"bradford","0","0.1","o","f","0.27"
"bradford","6","5.7","w","f","0.27"
"bradford","0","0.1","o","m","0.27"
"bradford","14","8.6","w","m","0.27"
"bucks","1","2.6","o","f","0.211"
"bucks","53","42.9","w","f","0.211"
"bucks","3","3.7","o","m","0.211"
"bucks","64","65.4","w","m","0.211"
"butler","0","0.2","o","f","0.276"
"butler","22","12.9","w","f","0.276"
"butler","0","0.3","o","m","0.276"
"butler","25","19.7","w","m","0.276"
"cambria","0","0.4","o","f","0.25"
"cambria","8","14.4","w","f","0.25"
"cambria","2","0.5","o","m","0.25"
"cambria","13","19.6","w","m","0.25"
"cameron","0","0","o","f","0.227"
"cameron","2","0.6","w","f","0.227"
"cameron","0","0","o","m","0.227"
"cameron","1","0.8","w","m","0.227"
"carbon","0","0.1","o","f","0.226"
"carbon","6","5.6","w","f","0.226"
"carbon","0","0.1","o","m","0.226"
"carbon","6","8.3","w","m","0.226"
"centre","0","0.2","o","f","0.21"
"centre","4","8.5","w","f","0.21"
"centre","0","0.3","o","m","0.21"
"centre","10","12.8","w","m","0.21"
"chester","3","2.9","o","f","0.214"
"chester","25","28.2","w","f","0.214"
"chester","7","4","o","m","0.214"
"chester","44","43.6","w","m","0.214"
"clarion","0","0","o","f","0.227"
"clarion","2","3.7","w","f","0.227"
"clarion","0","0.1","o","m","0.227"
"clarion","8","5.5","w","m","0.227"
"clearfield","0","0.1","o","f","0.227"
"clearfield","9","7.7","w","f","0.227"
"clearfield","0","0.2","o","m","0.227"
"clearfield","9","11.2","w","m","0.227"
"clinton","0","0","o","f","0.27"
"clinton","5","3.4","w","f","0.27"
"clinton","0","0","o","m","0.27"
"clinton","3","5.2","w","m","0.27"
"columbia","0","0.1","o","f","0.21"
"columbia","4","5.5","w","f","0.21"
"columbia","0","0.1","o","m","0.21"
"columbia","5","8.1","w","m","0.21"
"crawford","0","0.2","o","f","0.279"
"crawford","8","7.6","w","f","0.279"
"crawford","0","0.3","o","m","0.279"
"crawford","18","11.8","w","m","0.279"
"cumberland","0","0.5","o","f","0.207"
"cumberland","9","17.4","w","f","0.207"
"cumberland","0","0.9","o","m","0.207"
"cumberland","19","25.1","w","m","0.207"
"dauphin","3","4","o","f","0.21"
"dauphin","17","17.8","w","f","0.21"
"dauphin","3","4.8","o","m","0.21"
"dauphin","24","24.8","w","m","0.21"
"delaware","9","7.3","o","f","0.218"
"delaware","41","38","w","f","0.218"
"delaware","5","8.8","o","m","0.218"
"delaware","51","51.9","w","m","0.218"
"elk","0","0","o","f","0.227"
"elk","7","3.4","w","f","0.227"
"elk","0","0","o","m","0.227"
"elk","6","4.9","w","m","0.227"
"erie","0","1.3","o","f","0.277"
"erie","24","20.3","w","f","0.277"
"erie","7","1.6","o","m","0.277"
"erie","23","29.2","w","m","0.277"
"fayette","0","0.7","o","f","0.23"
"fayette","11","13.6","w","f","0.23"
"fayette","1","0.8","o","m","0.23"
"fayette","26","18.5","w","m","0.23"
"forest","0","0","o","f","0.227"
"forest","0","0.6","w","f","0.227"
"forest","0","0","o","m","0.227"
"forest","0","1.1","w","m","0.227"
"franklin","1","0.4","o","f","0.234"
"franklin","8","11.3","w","f","0.234"
"franklin","1","0.5","o","m","0.234"
"franklin","18","17.1","w","m","0.234"
"fulton","0","0","o","f","0.234"
"fulton","1","1.3","w","f","0.234"
"fulton","0","0","o","m","0.234"
"fulton","4","2.2","w","m","0.234"
"greene","0","0","o","f","0.23"
"greene","4","3.2","w","f","0.23"
"greene","0","0.1","o","m","0.23"
"greene","7","4.7","w","m","0.23"
"huntingdon","0","0.1","o","f","0.228"
"huntingdon","1","4","w","f","0.228"
