"county","ebll","crime_rate","p_foodstamp","p_male_juve","p_whiteundr18","p_blackundr18","p_aianundr18","p_asianundr18","p_hispanicundr18","pct_insur","belowpovertylastyr_pct","medianage","unemploy_rate"
"Alcona",0.016736,0,9.530791789,53.34420881,95.10603589,0.652528548,0.435019032,0,2.120717781,66.6,0.148859,53.8,14.8
"Alger ",0,187,9.544008484,53.20665083,89.0736342,0,5.106888361,0.356294537,0.593824228,66.7,0.136549,46.1,8.4
"Allegan ",0.007108,134,9.188660802,51.27314424,88.76935011,1.720009443,0.421570942,0.927456072,10.77198071,71.5,0.10688,37.7,7.5
"Alpena ",0.004293,154.5,13.52986217,49.89634827,96.44394833,0.797321001,0,0.287035561,1.562749163,65.7,0.153844,44.8,8.5
"Antrim ",0,21.9,9.259829586,51.65003837,93.05448964,1.112816577,0.172678434,0.287797391,2.839600921,65.2,0.144345,45.1,10.8
"Arenac ",0,32.6,16.27705628,53.42097401,93.45682701,0.478040036,0.26889752,0.179265013,3.286525246,63.7,0.174607,44.6,10.9
"Baraga",0,0,9.4125284,46.05341246,69.55489614,0,23.20474777,0.949554896,1.78041543,69.8,0.122582,41.7,11.7
"Barry ",0.006976,44,8.811731146,50.23012983,95.33557739,0.673215635,0.103043209,0.419042385,3.20120904,72.6,0.084918,39.8,7.7
"Bay ",0.015062,161.1,12.2511726,51.31200132,89.90293658,2.142798388,0.222094267,0.793781361,7.049436539,69.2,0.115921,41.1,9
"Benzie ",0,29.4,8.868501529,52.05406838,92.44632918,0.556586271,1.590246488,0.053008216,3.021468328,68,0.110131,43.7,11.6
"Berrien ",0.031411,206.9,13.01993988,51.89572247,70.52292264,20.36174785,0.417007777,1.284281621,6.769340974,64.5,0.167298,40,9.9
"Branch ",0.006199,60.6,10.56635672,50.47169811,94.4691084,0.564187939,0.064742878,1.137624861,7.214206437,66.7,0.156833,38.7,10.5
"Calhoun ",0.012204,130.7,14.33078711,50.94968044,78.38989408,12.33534372,0.867164761,1.491283344,6.262189816,65.7,0.162105,38,10.3
"Cass ",0.0133697760337576,0,11.12200382,51.00111713,84.02509238,5.267680674,0.421070723,0.790581765,5.602818596,65.3,0.139289,40.9,8.4
"Charlevoix ",0,36.2,9.109748726,49.91513917,93.80515954,0.407331976,0.763747454,0.407331976,2.393075356,71,0.111215,43.6,8.7
"Cheboygan ",0.006195,60.3,15.08031442,51.44230769,90.63390313,0.178062678,3.098290598,0.623219373,1.905270655,59.5,0.157853,45.2,16.5
"Chippewa ",0.002144,68.5,11.57492668,50.60871842,64.41942663,3.27267967,19.4135358,0.942531745,3.246498233,65.4,0.164792,38.7,11.1
"Clare ",0.001969,0,17.57701467,50.74649604,95.3229738,0.609384522,1.767215113,0,2.026203534,54.4,0.193041,44.5,14.7
"Clinton ",0.003508,0,5.058168943,51.05867778,92.54420543,2.173668206,0.692645568,0.456132447,4.116454556,80.8,0.073547,39.2,6.1
"Crawford ",0,73.9,15.39516544,54.06859449,95.12441157,0.806993948,0.437121722,0.672494956,2.62273033,63.3,0.171478,44,13.8
"Delta ",0.002147,234.9,10.39558975,51.45459145,91.53807235,0.227675183,2.264103213,0.645079686,1.517834556,65.8,0.119502,44.4,6.9
"Dickinson ",0.006024,0,8.60583685,51.59386068,95.66537359,0.286726261,0.168662506,0.590318772,1.399898802,70.8,0.107049,44.5,7
"Eaton ",0.003955,17.3,7.829988194,50.1863354,84.23963134,6.515728311,0.116209177,1.671007814,5.586054899,76.9,0.086426,38.8,8
"Emmet ",0.003,124.3,8.181359475,52.47774678,90.62043311,0.411850671,3.706656038,0.464992693,2.444533014,70.6,0.086679,41.9,9.6
"Genesee",0.011036,194,14.92949447,51.00925336,68.74949515,24.20951543,0.55197049,0.933413511,3.463502634,63.2,0.173327,37.3,11.7
"Gladwin ",0.00237,176.4,14.46819382,51.89138577,96.98501873,0.524344569,0.112359551,0.131086142,1.966292135,62.1,0.194952,46.2,12.1
"Gogebic ",0,0,11.98639456,50.85485631,90.46926155,1.018552201,5.529283376,0,1.309567115,58.1,0.178359,45.4,9
